name,height,weight,position,school,city,state,score,nat_rank,pos_rank,state_rank,website,school_offer
Malachi Goodman,6-5.5 ,320,IOL,Paramus Catholic,Paramus,NJ,0.98,19,5,1,247,Syracuse
Hardy Watts,6-6 ,290,IOL,Dexter Southfield,Brookline,MA,0.9,NA,23,1,247,Syracuse
Amir Leonard-Jean Charles,6-4 ,305,IOL,Lipscomb Academy,Nashville,TN,0.89,NA,61,16,247,Syracuse
Chris Vigna,6-5 ,295,IOL,Bergen Catholic,Oradell,NJ,0.89,NA,32,16,247,Syracuse
Jayvon McFadden,6-5 ,300,IOL,Riverdale Baptist,Upper Marlboro,MD,0.89,NA,35,19,247,Syracuse
Max Buchanan,6-4 ,275,IOL,Seminole,Sanford,FL,0.88,NA,39,67,247,Syracuse
Josh Williams,6-4 ,300,IOL,The Haverford School,Haverford,PA,0.88,NA,50,19,247,Syracuse
Michael Troutman,6-2 ,270,IOL,DePaul Catholic,Wayne,NJ,0.87,NA,67,25,247,Syracuse
Gavin Crawford,6-3 ,300,IOL,Good Counsel,Olney,MD,0.87,NA,68,34,247,Syracuse
Kahlil Stewart,6-4 ,325,IOL,St. Joseph's Prep,Philadelphia,PA,0.87,NA,69,20,247,Syracuse
Kage Payne,6-3 ,280,IOL,Kings,Kings Mills,OH,0.86,NA,111,62,247,Syracuse
Thomas Dumais,6-3 ,280,IOL,Rabun Gap-Nacoochee,Rabun Gap,GA,0.86,NA,112,160,247,Syracuse
Takaylen Muex,6-3.5 ,340,IOL,Duncan U. Fletcher,Neptune Beach,FL,0.86,NA,115,171,247,Syracuse
Amory Hills,6-5 ,310,IOL,Milford Mill Academy,Gwynn Oak,MD,0.85,NA,127,50,247,Syracuse
Matthew Hawn,6-6 ,270,IOL,Christian Brothers Academy,Syracuse,NY,0.85,NA,126,15,247,Syracuse
Isiah Switzer,6-6 ,295,IOL,Glenville,Cleveland,OH,0.84,NA,191,102,247,Syracuse
Kenneth McManus IV,6-2 ,290,IOL,St. John's,Washington,DC,0.84,NA,194,8,247,Syracuse
Danny McClees,6-4 ,280,IOL,Irvington,Irvington,NJ,NA,NA,NA,NA,247,Syracuse
Samson Chazulle,6-3 ,320,IOL,St. Thomas Aquinas,Fort Lauderdale,FL,NA,NA,NA,NA,247,Syracuse
Darren Ikinnagbon,6-5 ,251,Edge,Hillside,Hillside,NJ,0.97,36,7,3,247,Syracuse
Jared Smith,6-6.5 ,235,Edge,Thompson,Alabaster,AL,0.96,71,7,3,247,Syracuse
Javion Hilson,6-3.5 ,235,Edge,Cocoa,Cocoa,FL,0.95,79,8,10,247,Syracuse
Nathaniel Marshall,6-4 ,265,Edge,Fenwick,Oak Park,IL,0.95,89,9,4,247,Syracuse
Zion Grady,6-4 ,235,Edge,Enterprise,Enterprise,AL,0.94,114,13,6,247,Syracuse
LaJesse Harrold,6-5 ,215,Edge,Gaither,Tampa,FL,0.93,150,16,16,247,Syracuse
Herbert Scroggins,6-2 ,235,Edge,Benedictine Military School,Savannah,GA,0.92,195,23,28,247,Syracuse
Jeff Exinor Jr.,6-2 ,220,Edge,McDonogh School,Owings Mills,MD,0.92,208,11,7,247,Syracuse
Jayden Loftin,6-4 ,250,Edge,Somerville,Somerville,NJ,0.9,NA,31,7,247,Syracuse
CJ May,6-4 ,225,Edge,Highland Home,Highland Home,AL,0.9,NA,32,16,247,Syracuse
Robbie Johnson Jr,6-2.5 ,250,Edge,Salesianum,Wilmington,DE,0.9,NA,34,1,247,Syracuse
Cortez Harris,6-2 ,200,Edge,Riverdale Baptist,Upper Marlboro,MD,0.89,NA,38,14,247,Syracuse
Sampson Onuoha,6-3 ,240,Edge,Belmont Hill School,Belmont,MA,0.89,NA,47,2,247,Syracuse
Darryll Desir,6-4.5 ,240,Edge,Norland,Miami,FL,0.88,NA,50,72,247,Syracuse
Mandrell Desir,6-3.5 ,240,Edge,Norland,Miami,FL,0.88,NA,52,80,247,Syracuse
Romando Johnson,6-3 ,250,Edge,Monarch,Pompano Beach,FL,0.86,NA,82,117,247,Syracuse
Brooks Williams,6-6 ,220,Edge,St. Lucie West Centennial,Port Saint Lucie,FL,0.86,NA,85,126,247,Syracuse
Cameron White,6-1 ,225,Edge,Armwood,Seffner,FL,0.86,NA,123,131,247,Syracuse
Julian Anderson,6-4 ,210,Edge,Blair Academy,Blairstown,NJ,0.86,NA,112,40,247,Syracuse
Sharlandiin Strange,6-3 ,235,Edge,Miami Carol City,Opa Locka,FL,0.86,NA,121,173,247,Syracuse
Brandon Thomas,6-3.5 ,200,Edge,Miami Carol City,Opa Locka,FL,0.85,NA,127,196,247,Syracuse
Deangelo Thompson Jr.,6-4 ,215,Edge,Northwestern,Miami,FL,0.83,NA,184,248,247,Syracuse
Andrew Hines,6-5 ,265,Edge,Tohopekaliga,Kissimmee,FL,0.82,NA,211,288,247,Syracuse
Elijah Griffin,6-5 ,300,DL,Savannah Christian Prep,Savannah,GA,1,3,1,1,247,Syracuse
Zahir Mathis,6-6 ,225,DL,Imhotep Institute,Philadelphia,PA,0.93,166,20,4,247,Syracuse
Jalen Wiggins,6-4.5 ,255,DL,Rickards,Tallahassee,FL,0.92,192,20,20,247,Syracuse
Ethan Utley,6-3.5 ,265,DL,Ensworth,Nashville,TN,0.92,207,22,5,247,Syracuse
Ari Watford,6-5 ,220,DL,Maury,Norfolk,VA,0.9,NA,30,8,247,Syracuse
Caleb Williams,6-5.5 ,250,DL,Matoaca,Chesterfield,VA,0.89,NA,38,14,247,Syracuse
Kevin Oatis,6-2 ,295,DL,Hattiesburg,Hattiesburg,MS,0.89,NA,40,15,247,Syracuse
Bobby Kanka,6-4 ,285,DL,Howell,Howell,MI,0.89,NA,44,10,247,Syracuse
Landon Rink,6-2 ,280,DL,Cy-Fair,Cypress,TX,0.89,NA,60,72,247,Syracuse
Derry Norris,6-3 ,265,DL,Spruce Creek,Port Orange,FL,0.88,NA,65,74,247,Syracuse
Austin Alexander,6-3 ,243,DL,Cooper,Union,KY,0.88,NA,66,6,247,Syracuse
Kaden Strayhorn,6-2.5 ,285,DL,IMG Academy,Bradenton,FL,0.88,NA,40,76,247,Syracuse
Kole Briehler,6-2 ,265,DL,Hun School,Princeton,NJ,0.88,NA,81,23,247,Syracuse
Tommy Rupley,6-3.5 ,250,DL,Belmont Hill School,Belmont,MA,0.87,NA,97,3,247,Syracuse
Adam Shovlin,6-4 ,250,DL,The Lawrenceville School,Lawrenceville,NJ,0.87,NA,103,29,247,Syracuse
Haleem Muhammad,6-3 ,260,DL,St. Frances Academy,Baltimore,MD,0.87,NA,105,39,247,Syracuse
Eric Thomas,6-4.5 ,325,DL,Northwestern,Miami,FL,0.87,NA,112,112,247,Syracuse
Davion Dixon,6-2 ,290,DL,Miami Palmetto,Miami,FL,0.86,NA,115,122,247,Syracuse
Wilnerson Telemaque,6-6 ,257,DL,Northwestern,Miami,FL,0.86,NA,120,165,247,Syracuse
Gus Cordova,6-3 ,246,DL,Lake Travis,Austin,TX,0.86,NA,145,228,247,Syracuse
Nathan Nyandoro,6-6 ,260,DL,Vanier College,Montreal,QC,0.86,NA,146,1,247,Syracuse
Blake Belin,6-2 ,281,DL,Cardinal Hayes,Bronx,NY,0.86,NA,149,11,247,Syracuse
Tyler Partlow,6-4 ,265,DL,St. Thomas More,Oakdale,CT,0.86,NA,156,16,247,Syracuse
Terry Nwabuisi-Ezeala,6-2 ,305,DL,Rabun Gap-Nacoochee,Rabun Gap,GA,0.85,NA,175,174,247,Syracuse
Xavier Ukponu,6-2 ,288,DL,Guyer,Denton,TX,0.85,NA,176,251,247,Syracuse
Nissi Ogbebor,6-6 ,280,DL,St. Mark,Manotick,ON,0.85,NA,203,1,247,Syracuse
Elijah Crawford,6-2.5 ,285,DL,McDonogh School,Owings Mills,MD,0.84,NA,212,58,247,Syracuse
Nahsir Taylor,6-2 ,250,DL,Riverdale Baptist,Upper Marlboro,MD,0.84,NA,217,59,247,Syracuse
Antonio Henley,6-0 ,245,DL,Gaither,Tampa,FL,0.83,NA,243,256,247,Syracuse
Darian Blachewicz,6-2 ,280,DL,Millville,Millville,NJ,0.83,NA,249,51,247,Syracuse
Anthony Smith,6-2 ,350,DL,Chaminade-Madonna,Hollywood,FL,0.82,NA,279,304,247,Syracuse
Anthony Chuman,6-2 ,305,DL,DeMatha Catholic,Hyattsville,MD,NA,NA,NA,NA,247,Syracuse
David Rivera,6-5 ,285,DL,Wilby,Waterbury,CT,NA,NA,NA,NA,247,Syracuse
Maurice Adams Jr.,6-2 ,240,DL,Florida State University School,Tallahassee,FL,NA,NA,NA,NA,247,Syracuse
Delaney Fludd,6-3 ,290,DL,Bergen Catholic,Oradell,NJ,NA,NA,NA,NA,247,Syracuse
Tarrell Greene,6-1 ,260,DL,Dillard,Fort Lauderdale,FL,NA,NA,NA,NA,247,Syracuse
Hayden Lowe,6-4.5 ,250,LB,Oaks Christian,Westlake Village,CA,0.98,16,2,2,247,Syracuse
Cameron Smith,6-0 ,200,LB,St. Joseph's Prep,Philadelphia,PA,0.91,NA,24,7,247,Syracuse
Ty Jackson,6-1 ,200,LB,Seminole Ridge,Loxahatchee,FL,0.91,NA,25,28,247,Syracuse
Bryce Deas,6-2.5 ,215,LB,St. Frances Academy,Baltimore,MD,0.91,NA,27,12,247,Syracuse
Kellen Wiley,6-4 ,225,LB,Armwood,Seffner,FL,0.91,NA,30,30,247,Syracuse
Nathaniel Owusu-Boateng,6-0.5 ,205,LB,IMG Academy,Bradenton,FL,0.9,NA,32,33,247,Syracuse
Luke Metz,6-3 ,220,LB,Mill Creek,Hoschton,GA,0.89,NA,45,56,247,Syracuse
DJ McClary,6-1 ,211,LB,Henry Snyder,Jersey City,NJ,0.89,NA,51,10,247,Syracuse
Anthony Sacca,6-3 ,225,LB,St. Joseph's Prep,Philadelphia,PA,0.89,NA,53,12,247,Syracuse
Alex Tatsch,6-2 ,213,LB,Greater Latrobe,Latrobe,PA,0.89,NA,58,13,247,Syracuse
Kamar Archie,6-1 ,225,LB,Hun School,Princeton,NJ,0.89,NA,59,13,247,Syracuse
Floyd Boucard,6-3 ,315,LB,Miami Central,Miami,FL,0.88,NA,64,64,247,Syracuse
Mickey Vaccarello,6-4 ,210,LB,Peters Township,Canonsburg,PA,0.88,NA,74,16,247,Syracuse
Isaiah Deloatch,6-1 ,210,LB,Hillside,Durham,NC,0.88,NA,81,15,247,Syracuse
Noah Chambers,6-2 ,216,LB,DeMatha Catholic,Hyattsville,MD,0.88,NA,89,26,247,Syracuse
Qeanu Johnson,6-1 ,190,LB,Hamden Hall,Hamden,CT,0.86,NA,90,12,247,Syracuse
Antoine Deslauriers,6-1 ,225,LB,Rabun Gap-Nacoochee,Rabun Gap,GA,0.86,NA,135,146,247,Syracuse
Samuel Lateju,6-5 ,230,LB,The Lawrenceville School,Lawrenceville,NJ,0.86,NA,107,38,247,Syracuse
Trevor Sommers,6-3 ,245,LB,St. Thomas Aquinas,Fort Lauderdale,FL,0.85,NA,168,181,247,Syracuse
Trey Dudley,6-1 ,215,LB,Briar Woods,Ashburn,VA,0.85,NA,181,49,247,Syracuse
Duke Giarraputo,6-3 ,205,LB,Loyola,Los Angeles,CA,0.83,NA,213,222,247,Syracuse
EahJay McAdams,6-1 ,205,LB,West Orange,West Orange,NJ,0.84,NA,218,48,247,Syracuse
Carter Jones,6-0 ,205,LB,Crean Lutheran,Irvine,CA,0.83,NA,223,204,247,Syracuse
Jermaine Minnis,6-1 ,210,LB,DeMatha Catholic,Hyattsville,MD,0.83,NA,229,63,247,Syracuse
Hector Chavez,5-10 ,215,LB,Columbus,Miami,FL,0.82,NA,254,285,247,Syracuse
Martin Rhyne,6-1 ,215,LB,Western,Fort Lauderdale,FL,0.82,NA,255,286,247,Syracuse
Na'eem Offord,6-1 ,185,CB,Parker,Birmingham,AL,0.98,17,3,1,247,Syracuse
Shamari Earls,6-2 ,180,CB,Thomas Dale,Chester,VA,0.95,77,9,1,247,Syracuse
Graceson Littleton,6-0 ,180,CB,Wiregrass Ranch,Wesley Chapel,FL,0.95,81,10,11,247,Syracuse
Blake Woodby,5-10.5 ,175,CB,St. Frances Academy,Baltimore,MD,0.92,181,23,6,247,Syracuse
Dawayne Galloway,6-1 ,175,CB,Marion-Franklin,Columbus,OH,0.9,NA,30,12,247,Syracuse
Jaboree Antoine,6-1 ,170,CB,Westgate,New Iberia,LA,0.9,NA,34,12,247,Syracuse
Jahmari DeLoatch,5-10 ,160,CB,Oscar Smith,Chesapeake,VA,0.9,NA,28,10,247,Syracuse
Chris Ewald,6-0 ,165,CB,Chaminade-Madonna,Hollywood,FL,0.9,NA,36,37,247,Syracuse
Dominick Kelly,6-1 ,175,CB,IMG Academy,Bradenton,FL,0.9,NA,37,39,247,Syracuse
J'Vari Flowers,5-10.5 ,165,CB,Northwestern,Miami,FL,0.9,NA,41,42,247,Syracuse
Tariq Hayer,6-1 ,190,CB,St. John's,Washington,DC,0.89,NA,37,3,247,Syracuse
Cameron Miller,5-11 ,165,CB,Winslow Township,Atco,NJ,0.89,NA,61,12,247,Syracuse
Onis Konanbanny,6-1 ,180,CB,Heathwood Hall Episcopal School,Columbia,SC,0.89,NA,53,11,247,Syracuse
Tywan Cox,5-11 ,165,CB,Northwestern,Miami,FL,0.87,NA,73,87,247,Syracuse
Kaylib Singleton,6-1 ,173,CB,Oakleaf,Orange Park,FL,0.87,NA,80,100,247,Syracuse
Rayshon Andrews,6-3.5 ,180,CB,Avon Old Farms,Avon,CT,0.87,NA,84,8,247,Syracuse
Renick Dorilas,5-11 ,150,CB,Don Bosco Prep,Ramsey,NJ,0.87,NA,97,30,247,Syracuse
Jordan Gibbs,6-2 ,170,CB,Longwood,Middle Island,NY,0.87,NA,98,7,247,Syracuse
Jayden Shipps,6-1 ,180,CB,Archbishop Spalding,Severn,MD,0.87,NA,99,38,247,Syracuse
Major Preston,5-11.5 ,187,CB,IMG Academy,Bradenton,FL,0.86,NA,106,118,247,Syracuse
Omari Gaines,6-2 ,175,CB,Malcolm X Shabazz,Newark,NJ,0.86,NA,117,34,247,Syracuse
Ma'khi Jones,5-11 ,170,CB,Milton,Alpharetta,GA,0.86,NA,120,139,247,Syracuse
Ziyyon Bredell,6-1 ,175,CB,Lincoln,Philadelphia,PA,0.86,NA,115,28,247,Syracuse
Javon Lawrence,6-2 ,170,CB,North Rockland,Thiells,NY,0.86,NA,116,9,247,Syracuse
Marquet Dorsey Jr.,6-1 ,180,CB,Don Bosco Prep,Ramsey,NJ,0.86,NA,117,37,247,Syracuse
Tavius Horne,5-11 ,160,CB,Atlantic,Delray Beach,FL,0.85,NA,148,199,247,Syracuse
Garrison Heslop,6-1 ,150,CB,Archbishop Stepinac,White Plains,NY,NA,NA,NA,NA,247,Syracuse
Terron Johnson,5-11 ,165,CB,Iona Preparatory School,New Rochelle,NY,NA,NA,NA,NA,247,Syracuse
Austin Bailey,6-2 ,175,CB,Paul VI,Haddonfield,NJ,NA,NA,NA,NA,247,Syracuse
Riley Pettijohn,6-1.5 ,215,S,McKinney,McKinney,TX,0.95,101,6,23,247,Syracuse
Bryce Fitzgerald,6-0.5 ,172,S,Columbus,Miami,FL,0.91,237,19,26,247,Syracuse
Byron Baldwin Jr.,6-1.5 ,190,S,St. Frances Academy,Baltimore,MD,0.91,NA,21,11,247,Syracuse
Messiah Delhomme,6-1 ,196,S,Warwick,Newport News,VA,0.9,NA,24,9,247,Syracuse
Amari Wallace,5-10 ,172,S,Miami Central,Miami,FL,0.9,NA,26,34,247,Syracuse
Demetres Samuel Jr.,6-0 ,185,S,Heritage,Palm Bay,FL,0.9,NA,32,41,247,Syracuse
Marcus Upton,6-0 ,185,S,Winslow Township,Atco,NJ,0.89,NA,40,14,247,Syracuse
Keon Young,6-0 ,171,S,Lakeland,Lakeland,FL,0.88,NA,46,75,247,Syracuse
Julien Horton,6-0 ,175,S,Bel Air,Bel Air,MD,0.88,NA,62,24,247,Syracuse
Cole Woodson,6-1 ,190,S,Battlefield,Haymarket,VA,0.88,NA,63,25,247,Syracuse
Justin Rowe,6-2 ,215,S,Asheville School,Asheville,NC,0.87,NA,99,21,247,Syracuse
Remington Moss,6-1.5 ,185,S,St. Michael the Archangel Catholic,Fredericksburg,VA,0.87,NA,88,30,247,Syracuse
Axavier Bridges-Brooks,6-0 ,185,S,Rock Creek Christian Academy,Upper Marlboro,MD,0.87,NA,89,37,247,Syracuse
Max Redmon,6-1 ,185,S,Cardinal Newman,West Palm Beach,FL,0.87,NA,99,109,247,Syracuse
Travares Daniels II,6-1 ,200,S,St. Thomas Aquinas,Fort Lauderdale,FL,0.86,NA,124,134,247,Syracuse
Sekou Smith Jr.,6-0.5 ,160,S,Miami Central,Miami,FL,0.86,NA,113,149,247,Syracuse
Maliki Wright,6-0 ,180,S,Dr. Phillips,Orlando,FL,0.85,NA,146,186,247,Syracuse
Amari Colon,6-1 ,180,S,"Trinity-Pawling School (Pawling, NY)",Pawling,NY,0.85,NA,166,16,247,Syracuse
Osiris Gilbert,5-9.5 ,165,S,Peachtree Ridge,Suwanee,GA,0.85,NA,164,205,247,Syracuse
Jussiah Williams-West,6-2 ,175,S,Wayne,Dayton,OH,0.84,NA,183,91,247,Syracuse
Trent Gillis,6-1 ,185,S,Archbishop Spalding,Severn,MD,NA,NA,NA,NA,247,Syracuse
Rohon Kazadi,6-2 ,185,S,Plano,Plano,TX,NA,NA,NA,NA,247,Syracuse
Armani Cabrera,5-11 ,161,S,Curtis,Staten Island,NY,NA,NA,NA,NA,247,Syracuse
Quincy Porter,6-3 ,200,ATH,Bergen Catholic,Oradell,NJ,0.98,31,4,2,247,Syracuse
Vernell Brown III,5-11 ,170,ATH,Jones,Orlando,FL,0.97,35,5,3,247,Syracuse
Talyn Taylor,6-1 ,173,ATH,Geneva Community,Geneva,IL,0.97,40,6,2,247,Syracuse
Brandon Finney,6-2 ,185,ATH,McDonogh School,Owings Mills,MD,0.96,47,8,1,247,Syracuse
Dallas Golden,6-0 ,176,ATH,Berkeley Prep,Tampa,FL,0.93,169,7,18,247,Syracuse
Matthew Outten,6-0 ,200,ATH,I.C. Norcom,Portsmouth,VA,0.92,196,10,4,247,Syracuse
Nolan James,5-10 ,200,ATH,DePaul Catholic,Wayne,NJ,0.92,219,12,4,247,Syracuse
Jahmir Joseph,6-0 ,185,ATH,St. Joseph Regional,Montvale,NJ,0.9,NA,29,6,247,Syracuse
Zymear Smith,5-11.5 ,170,ATH,North Caroline,Ridgely,MD,0.9,NA,19,13,247,Syracuse
Lotzeir Brooks,5-9 ,170,ATH,Millville,Millville,NJ,0.89,NA,60,11,247,Syracuse
DeShawn Stewart,6-2 ,185,ATH,DePaul Catholic,Wayne,NJ,0.89,NA,41,15,247,Syracuse
Quante Gillians,6-3.5 ,278,ATH,Aquinas Institute,Rochester,NY,0.89,NA,58,1,247,Syracuse
Jourdin Houston,6-1 ,190,ATH,St. Thomas More,Oakdale,CT,0.89,NA,72,6,247,Syracuse
Lamason Waller,6-2 ,170,ATH,Sultana,Hesperia,CA,0.88,NA,90,54,247,Syracuse
Josiah Broxton,5-10 ,210,ATH,Florida State University School,Tallahassee,FL,0.88,NA,72,77,247,Syracuse
Jaylen Pray,6-6 ,265,ATH,Brunswick School,Greenwich,CT,0.88,NA,53,7,247,Syracuse
Tyler Houser,6-2 ,220,ATH,Pope John XXIII,Sparta,NJ,0.88,NA,78,20,247,Syracuse
Terrance Edwards,6-1 ,180,ATH,Trinity Episcopal School,Richmond,VA,0.88,NA,54,23,247,Syracuse
Naiim Parrish,5-11 ,165,ATH,Bergen Catholic,Oradell,NJ,0.88,NA,57,21,247,Syracuse
Andre Lovett,6-2 ,180,ATH,Eisenhower,Blue Island,IL,0.88,NA,70,21,247,Syracuse
Quentin Murphy,6-1 ,205,ATH,Parkview Magnet,Little Rock,AR,0.87,NA,65,5,247,Syracuse
Jovan Clark,6-0 ,195,ATH,Morgan Park,Chicago,IL,0.87,NA,101,23,247,Syracuse
Terrell Wilfong,6-3 ,160,ATH,West Orange,West Orange,NJ,0.87,NA,125,27,247,Syracuse
Cameron Jamerson,6-0 ,170,ATH,Shadow Creek,Pearland,TX,0.87,NA,67,132,247,Syracuse
Peyton Nelson,5-11 ,175,ATH,Wise,Upper Marlboro,MD,0.87,NA,69,33,247,Syracuse
Azir Lee,6-0 ,165,ATH,Camden,Camden,NJ,0.87,NA,71,28,247,Syracuse
Charlie Wingfield,6-5 ,225,ATH,Ramapo,Franklin Lakes,NJ,0.87,NA,52,32,247,Syracuse
Steven Murray,6-1 ,160,ATH,Eastern Guilford,Gibsonville,NC,0.86,NA,84,28,247,Syracuse
Preston Douglas,6-3 ,230,ATH,The Benjamin School,North Palm Beach,FL,0.86,NA,68,151,247,Syracuse
Jamal Frilot,6-3 ,230,ATH,Dekaney,Houston,TX,0.86,NA,103,205,247,Syracuse
Griffin Collins,6-3 ,218,ATH,Worcester Academy,Worcester,MA,0.86,NA,139,5,247,Syracuse
Davion Kerr,6-1 ,180,ATH,St. Thomas More,Oakdale,CT,0.85,NA,167,19,247,Syracuse
Jessiah McGrew,6-2 ,175,ATH,Florida State University School,Tallahassee,FL,0.85,NA,154,212,247,Syracuse
Zayveon Prince,5-11 ,190,ATH,Rock Creek Christian Academy,Upper Marlboro,MD,0.82,NA,357,67,247,Syracuse
Noah McDuffie,5-11 ,165,ATH,Bennett,Buffalo,NY,NA,NA,NA,NA,247,Syracuse
Malakhi Lewis,5-10 ,185,ATH,Terry Parker,Jacksonville,FL,NA,NA,NA,NA,247,Syracuse
Dante Alexander,6-3 ,200,ATH,Monsignor Pace,Opa Locka,FL,NA,NA,NA,NA,247,Syracuse
Andre Jackson,6-0 ,180,ATH,Venice,Venice,FL,NA,NA,NA,NA,247,Syracuse
Jahsyn Reid,6-1 ,170,ATH,Central,Newark,NJ,NA,NA,NA,NA,247,Syracuse
JJ Kelly,6-6 ,195,ATH,Chambersburg Area,Chambersburg,PA,NA,NA,NA,NA,247,Syracuse
Wes Ryan,6-7 ,235,ATH,Shorecrest Prep,St. Petersburg,FL,NA,NA,NA,NA,247,Syracuse
Al-khabir Bethune,6-3 ,190,ATH,Plainfield,Plainfield,NJ,NA,NA,NA,NA,247,Syracuse
Dwayne Wimbley Jr.,6-6 ,210,ATH,St. Thomas Aquinas,Fort Lauderdale,FL,NA,NA,NA,NA,247,Syracuse
Brooks Martin,6-2 ,188,ATH,The Bullis School,Potomac,MD,NA,NA,NA,NA,247,Syracuse
Jakeyse Graves,6-0 ,165,ATH,Indian River,Chesapeake,VA,NA,NA,NA,NA,247,Syracuse
Lucas Martin,5-11 ,175,ATH,Half Hollow Hills East,Huntington Station,NY,NA,NA,NA,NA,247,Syracuse
Scott Starzyk,5-10 ,160,P,The Woodlands,The Woodlands,TX,0.8,NA,10,403,247,Syracuse
Jack Wills,6-2 ,210,LS,Hudsonville,Hudsonville,MI,0.8,NA,2,71,247,Syracuse
Henry Searcy,6-3 ,180,LS,Lawton Chiles,Tallahassee,FL,0.78,NA,7,349,247,Syracuse
Julian Lewis,6-0.5 ,185,QB,Carrollton,Carrollton,GA,0.9762,50,6,7,247,North Carolina
Bryce Baker,6-2.5 ,195,QB,East Forsyth,Kernersville,NC,0.9549,86,8,4,247,North Carolina
Ryan Montgomery,6-3 ,215,QB,Findlay,Findlay,OH,0.9408,131,12,5,247,North Carolina
George MacIntyre,6-5.5 ,190,QB,Brentwood Academy,Brentwood,TN,0.9355,150,13,2,247,North Carolina
Antwann Hill,6-4.5 ,220,QB,Houston County,Warner Robins,GA,0.9272,186,15,26,247,North Carolina
Brady Hart,6-4 ,180,QB,Cocoa,Cocoa,FL,0.9254,194,17,29,247,North Carolina
Luke Nickel,6-2 ,205,QB,Milton,Alpharetta,GA,0.9171,229,19,30,247,North Carolina
Blake Hebert,6-3 ,215,QB,Brunswick School,Greenwich,CT,0.8968,384,26,2,247,North Carolina
Au'tori Newkirk,6-3 ,200,QB,Maury,Norfolk,VA,0.875,773,49,23,247,North Carolina
Sawyer Anderson,5-10.5 ,177,QB,Parish Episcopal School,Dallas,TX,0.8639,1152,69,174,247,North Carolina
Alvin Henderson,5-9 ,200,RB,Elba,Elba,AL,0.9214,210,16,14,247,North Carolina
Jabree Wallace-Coleman,6-0 ,205,RB,Imhotep Institute,Philadelphia,PA,0.9061,294,21,6,247,North Carolina
Bo Walker,5-8.5 ,205,RB,Rabun Gap-Nacoochee,Rabun Gap,GA,0.9021,323,25,47,247,North Carolina
Deandre Desinor,5-8.5 ,175,RB,Atlantic,Delray Beach,FL,0.8869,519,42,68,247,North Carolina
Omar Mabson,5-9 ,200,RB,Auburn,Auburn,AL,0.8803,631,53,27,247,North Carolina
Isaiah West,5-11 ,208,RB,St. Joseph's Prep,Philadelphia,PA,0.8767,728,58,18,247,North Carolina
Demon June,5-11 ,225,RB,Jacksonville,Jacksonville,NC,0.8678,1018,76,25,247,North Carolina
Joseph Troupe,5-8 ,200,RB,Berkeley Prep,Tampa,FL,0.8581,1393,108,179,247,North Carolina
Jariel Cobb,5-10 ,180,RB,Reidsville,Reidsville,NC,0.8537,1556,121,34,247,North Carolina
Leon Clark,5-9 ,200,RB,Maury,Norfolk,VA,0.8228,2354,166,54,247,North Carolina
Javon Ford,5-10 ,190,RB,King's Fork,Suffolk,VA,NA,NA,NA,NA,247,North Carolina
Lekedrin Harvey,6-0 ,205,RB,Dutchtown,Geismar,LA,NA,NA,NA,NA,247,North Carolina
Jaylon Nichols,6-0 ,185,RB,Neville,Monroe,LA,NA,NA,NA,NA,247,North Carolina
Quincy Porter,6-3 ,200,WR,Bergen Catholic,Oradell,NJ,0.9873,23,5,1,247,North Carolina
Malik Clark,6-2.5 ,183,WR,Rock Hill,Rock Hill,SC,0.948,105,14,2,247,North Carolina
Donovan Murph,6-1.5 ,188,WR,Irmo,Columbia,SC,0.9316,164,22,3,247,North Carolina
Jordon Gidron,6-2 ,185,WR,Ridge View,Columbia,SC,0.9184,224,30,7,247,North Carolina
Shamarius Peterkin,6-2 ,172,WR,Mount Tabor,Winston Salem,NC,0.9011,331,44,9,247,North Carolina
Micah Matthews,6-2 ,205,WR,Turner Ashby,Bridgewater,VA,0.8908,463,23,12,247,North Carolina
Josiah Abdullah,5-10 ,175,WR,Woodward Academy,Atlanta,GA,0.8842,558,87,73,247,North Carolina
Jamien Little,6-1 ,175,WR,Hickory,Hickory,NC,0.8767,728,106,17,247,North Carolina
Vernon Allen,6-3 ,185,WR,Perry Hall,Nottingham,MD,0.8714,886,131,31,247,North Carolina
Evan Haynes,6-3 ,200,WR,Fellowship Christian School,Roswell,GA,0.8694,954,140,110,247,North Carolina
Kenedy Uzoma,6-5 ,203,WR,St. John's Catholic,Buckeystown,MD,0.8678,1018,60,34,247,North Carolina
Dylan Vickerson,6-1 ,210,WR,Creekside,Fairburn,GA,0.8625,1222,167,141,247,North Carolina
Fonzy Smith,6-0 ,175,WR,Trinity Christian School,Fayetteville,NC,0.8611,1278,175,28,247,North Carolina
Ethan Barbour,6-3 ,235,TE,Milton,Alpharetta,GA,0.9306,168,9,21,247,North Carolina
Marshall Pritchett,6-5 ,211,TE,Rabun Gap-Nacoochee,Rabun Gap,GA,0.9075,284,15,40,247,North Carolina
Logan Brooking,6-5 ,220,TE,Savannah Christian Prep,Savannah,GA,0.8869,519,26,70,247,North Carolina
Ryan Ghea,6-5 ,231,TE,Milton,Alpharetta,GA,0.8828,583,30,78,247,North Carolina
Emaree Winston,6-1.5 ,245,TE,Calhoun,Calhoun,GA,0.8819,601,32,81,247,North Carolina
Logan Farrell,6-3 ,235,TE,John Hersey,Arlington Heights,IL,0.8778,695,36,18,247,North Carolina
Hayden Bradley,6-4 ,220,TE,Buford,Buford,GA,0.8644,1134,60,132,247,North Carolina
